Method name,C20,C3,C4,C1,C5,C6,C2,C21,C18,C8,C9,C10,C17,C19,C7,C11,C12,C13,C14,C15,C16,H6,H7,H8,H9,H10,H11,H16,H17,H18,H19,H4,H1,H2,H3,H12,H13,H14,H15,H5,bug-prone
org.apache.cassandra.auth.AllowAllAuthenticator.newSaslNegotiator,1,4,0,4,1,1,0,1,1,2,1,1,1,0,1,5.0,5.0,1.5,11.60964047443681,37.5,0.0037345039554643033,0,0,0,0,1,0,0.0,0.0,0.0,1.0,1,0,0,0,0.0,0.0,0,0.0,0,not bug-prone
org.apache.cassandra.auth.AllowAllAuthorizer.authorize,1,4,0,4,1,1,0,2,1,2,1,1,1,0,2,9.0,10.0,5.25,31.699250014423125,472.5,0.020221496248318874,2,0,0,0,0,0,1.0,0.0,0.0,0.0,1,1,1,2,0.25,0.25,1.0,2.0,1,not bug-prone
org.apache.cassandra.auth.AllowAllAuthorizer.grant,0,4,0,4,1,1,0,1,1,2,1,1,1,0,4,15.0,17.0,5.0,66.41714012534482,1275.0,0.039193935037437726,1,0,0,0,1,0,0.5,0.0,0.0,0.25,1,1,0,1,0.25,0.0,0,1.0,1,not bug-prone
org.apache.cassandra.auth.AllowAllAuthorizer.revoke,0,4,0,4,1,1,0,1,1,2,1,1,1,0,4,15.0,17.0,5.0,66.41714012534482,1275.0,0.039193935037437726,1,0,0,0,1,0,0.5,0.0,0.0,0.25,1,1,0,1,0.25,0.0,0,1.0,1,not bug-prone
org.apache.cassandra.auth.AllowAllAuthorizer.revokeAllOn,0,3,0,3,1,0,0,0,1,1,1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0,0.0,1,not bug-prone
org.apache.cassandra.auth.AllowAllAuthorizer.list,0,4,0,4,1,1,0,2,1,2,1,1,1,0,4,15.0,17.0,5.0,66.41714012534482,1275.0,0.039193935037437726,1,0,0,0,1,0,0.5,0.0,0.0,0.25,1,1,0,1,0.25,0.0,0,1.0,1,not bug-prone
org.apache.cassandra.auth.AuthConfig.applyAuth,10,74,20,44,6,37,10,21,129,33,6,27,9,1,0,65.0,204.0,67.5,1228.5630338578046,895050.0,3.0958288507336094,0,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0.0,0.0,0,0.0,1,not bug-prone
org.apache.cassandra.auth.AuthenticatedUser.isSuper,7,10,0,4,1,1,6,3,1,2,1,1,1,0,0,9.0,10.0,3.0,31.699250014423125,270.0,0.013924766500838332,4,0,0,0,0,0,2.0,0.0,0.0,0,3,3,1,4,0.75,0.25,3.0,1.3333333333333333,2,not bug-prone
org.apache.cassandra.auth.AuthenticatedUser.getRoles,4,9,0,4,1,1,5,2,1,2,1,1,1,0,0,6.0,6.0,2.0,15.509775004326936,72.0,0.0057689982812296325,8,0,0,1,0,0,4.0,0.0,0.0,0,2,4,5,9,1.0,1.25,0.8,4.5,1,not bug-prone
org.apache.cassandra.auth.AuthenticatedUser.getPermissions,3,4,0,4,1,1,0,2,1,2,1,1,1,0,1,9.0,10.0,4.0,31.699250014423125,360.0,0.016868653306034983,1,0,0,0,1,1,0.5,0.0,0.0,1.0,1,1,0,1,0.25,0.0,0,1.0,1,not bug-prone
org.apache.cassandra.auth.AuthenticatedUser.toString,1,4,0,4,1,1,0,2,1,2,1,1,1,0,0,8.0,8.0,2.5,24.0,160.0,0.009824083996374362,3,0,0,0,0,0,1.5,0.0,0.0,0,3,3,0,3,0.75,0.0,0,1.0,2,bug-prone
org.apache.cassandra.auth.AuthenticatedUser.equals,2,12,3,9,2,6,0,2,3,7,2,5,3,1,1,20.0,33.0,8.25,142.62362713128297,5445.0,0.10316776004517966,1,0,0,0,0,0,0.14285714285714285,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0,0.0,0,not bug-prone
