Method name,C20,C3,C4,C1,C5,C6,C2,C21,C18,C8,C9,C10,C17,C19,C7,C11,C12,C13,C14,C15,C16,H6,H7,H8,H9,H10,H11,H16,H17,H18,H19,H4,H1,H2,H3,H12,H13,H14,H15,H5,bug-prone
org.apache.flume.auth.KerberosAuthenticator.authenticate,10,103,11,61,6,51,31,30,48,35,6,29,8,3,2,93.0,337.0,68.48780487804878,2203.6965193434066,2146476.2926829266,5.546633573075008,3,0,0,0,0,0,0.08571428571428572,0.0,0.0,0.0,1,3,0,3,0.03333333333333333,0.0,0,3.0,1,bug-prone
org.apache.flume.auth.UGIExecutor.reloginUGI,5,15,0,15,2,10,0,6,4,9,2,7,4,3,1,30.0,52.0,21.357142857142858,255.15831097164298,33317.14285714286,0.3451362525564215,4,0,0,0,0,0,0.4444444444444444,0.0,0.0,0.0,1,4,0,4,0.26666666666666666,0.0,0,4.0,1,not bug-prone
org.apache.flume.channel.file.CheckpointRebuilder.rebuild,18,86,0,86,18,65,0,31,183,61,22,39,20,8,0,0.0,0.0,0.0,0.0,0.0,0.0,14,0,0,0,0,0,0.22950819672131148,0.0,0.0,0,6,13,4,17,0.1511627906976744,0.046511627906976744,3.25,2.8333333333333335,4,bug-prone
org.apache.flume.channel.file.CheckpointRebuilder.writeCheckpoint,5,23,0,23,4,16,0,12,16,17,7,10,6,3,0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,0,0,0,0,0.23529411764705882,0.08695652173913043,0.0,0,1,4,0,4,0.17391304347826086,0.0,0,4.0,1,not bug-prone
org.apache.flume.channel.file.CheckpointRebuilder.main,3,41,0,41,15,35,0,20,6,30,14,16,4,2,1,0.0,0.0,0.0,0.0,0.0,0.0,21,1,0,0,0,0,0.7,0.024390243902439025,0.0,0.0,6,18,7,25,0.43902439024390244,0.17073170731707318,2.5714285714285716,4.166666666666667,4,bug-prone
org.apache.flume.channel.file.Commit.readProtos,1,6,0,6,3,3,0,4,1,3,2,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.3333333333333333,0.0,0.0,0.0,1,1,0,1,0.16666666666666666,0.0,0,1.0,1,bug-prone
org.apache.flume.channel.file.encryption.AESCTRNoPaddingProvider.doFinal,8,10,0,10,3,7,0,4,2,6,2,4,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0.3333333333333333,0.0,0.0,0.0,1,1,1,2,0.1,0.1,1.0,2.0,1,not bug-prone
org.apache.flume.channel.file.encryption.AESCTRNoPaddingProvider.getCipher,8,24,0,24,4,18,0,6,5,14,4,10,5,4,3,49.0,101.0,28.416666666666664,567.0856942556361,140634.0833333333,0.9014447971238163,10,0,0,0,0,0,0.7142857142857143,0.0,0.0,0.0,1,10,1,11,0.4166666666666667,0.041666666666666664,10.0,11.0,1,not bug-prone
org.apache.flume.channel.file.encryption.CipherProviderFactory.getProvider,8,38,1,35,7,27,2,13,16,23,6,17,6,3,1,55.0,156.0,48.30555555555556,901.892115309847,414461.6666666667,1.8529697295774537,1,0,0,0,0,0,0.043478260869565216,0.0,0.0,0.0,1,1,0,1,0.02631578947368421,0.0,0,1.0,1,bug-prone
org.apache.flume.channel.file.encryption.JCEFileKeyProvider.getKey,7,21,0,21,7,16,0,13,5,14,6,8,4,2,1,51.0,116.0,30.31578947368421,658.0013396686935,179348.2105263158,1.060091723435413,16,0,0,0,0,0,1.1428571428571428,0.0,0.0,0.0,3,13,3,16,0.6190476190476191,0.14285714285714285,4.333333333333333,5.333333333333333,2,not bug-prone
org.apache.flume.channel.file.encryption.KeyProvider.getKey,4,4,0,1,1,0,3,1,0,1,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0,0.0,1,not bug-prone
org.apache.flume.channel.file.encryption.KeyProviderFactory.getInstance,11,48,3,42,10,32,3,14,24,28,8,20,7,3,2,61.0,196.0,61.5,1162.4245181623257,735294.0,2.715518463655669,4,1,0,0,2,0,0.14285714285714285,0.020833333333333332,0.0,1.0,2,1,1,2,0.020833333333333332,0.020833333333333332,1.0,1.0,2,bug-prone
org.apache.flume.channel.file.EventQueueBackingStoreFactory.get,14,59,0,54,9,39,5,16,24,28,6,22,10,3,8,0.0,0.0,0.0,0.0,0.0,0.0,43,0,4,0,4,0,1.5357142857142858,0.0,0.06779661016949153,0.5,1,4,0,4,0.06779661016949153,0.0,0,4.0,1,bug-prone
org.apache.flume.channel.file.EventQueueBackingStoreFactory.upgrade,9,17,0,17,9,11,0,11,1,8,4,4,1,0,7,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,4,0,0.5,0.0,0.0,0.5714285714285714,1,2,0,2,0.11764705882352941,0.0,0,2.0,1,bug-prone
