Method name,C20,C3,C4,C1,C5,C6,C2,C21,C18,C8,C9,C10,C17,C19,C7,C11,C12,C13,C14,C15,C16,H6,H7,H8,H9,H10,H11,H16,H17,H18,H19,H4,H1,H2,H3,H12,H13,H14,H15,H5,bug-prone
org.apache.hadoop.hbase.security.access.AccessController.initialize,4,16,1,13,8,9,2,9,2,9,7,2,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0.3333333333333333,0.0,0.0,0.0,1,2,1,3,0.125,0.0625,2.0,3.0,1,not bug-prone
org.apache.hadoop.hbase.security.access.AccessController.logResult,9,15,0,15,3,11,0,10,3,7,3,4,6,2,1,32.0,65.0,13.033333333333335,325.0,27109.333333333336,0.3008093309412464,6,0,0,0,0,0,0.8571428571428571,0.0,0.0,0.0,2,6,0,6,0.4,0.0,0,3.0,2,not bug-prone
org.apache.hadoop.hbase.security.access.AccessController.requirePermission,9,33,1,24,7,15,8,16,5,13,5,8,6,4,4,0.0,0.0,0.0,0.0,0.0,0.0,8,2,0,0,6,1,0.6153846153846154,0.2,0.0,1.5,1,1,0,1,0.1,0.0,0,1.0,1,not bug-prone
org.apache.hadoop.hbase.security.access.AccessController.start,3,28,2,22,4,17,4,10,12,16,4,12,6,2,1,0.0,0.0,0.0,0.0,0.0,0.0,13,4,3,0,0,0,0.8125,0.14285714285714285,0.10714285714285714,0.0,1,16,0,16,0.5714285714285714,0.0,0,16.0,1,not bug-prone
org.apache.hadoop.hbase.security.access.AccessController.preCreateTable,2,4,0,4,2,1,0,1,1,2,1,1,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,4,0,1,0,0,0,2.0,0.0,0.25,0.0,2,1,3,4,0.25,0.75,0.3333333333333333,2.0,2,not bug-prone
org.apache.hadoop.hbase.security.access.AccessController.postCreateTable,2,11,0,10,5,6,1,10,3,7,3,4,3,2,3,0.0,0.0,0.0,0.0,0.0,0.0,6,0,1,0,0,0,0.8571428571428571,0.0,0.09090909090909091,0.0,1,6,0,6,0.5454545454545454,0.0,0,6.0,1,not bug-prone
org.apache.hadoop.hbase.security.access.AccessController.preDeleteTable,4,4,0,4,2,1,0,1,1,2,1,1,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,10,2,0,0,0,0,5.0,0.5,0.0,0.0,5,7,4,11,1.75,1.0,1.75,2.2,3,bug-prone
org.apache.hadoop.hbase.security.access.AccessController.postDeleteTable,2,4,0,4,2,1,0,3,1,2,1,1,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.5,0.0,0.0,0.0,1,1,0,1,0.25,0.0,0,1.0,1,not bug-prone
org.apache.hadoop.hbase.security.access.AccessController.preModifyTable,4,4,0,4,2,1,0,1,1,2,1,1,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,0,0,0,3.0,0.0,0.0,0.0,4,4,2,6,1.0,0.5,2.0,1.5,3,not bug-prone
org.apache.hadoop.hbase.security.access.AccessController.postModifyTable,2,9,0,8,5,5,1,9,2,6,3,3,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,5,0,1,0,0,0,0.8333333333333334,0.0,0.1111111111111111,0.0,1,5,0,5,0.5555555555555556,0.0,0,5.0,1,not bug-prone
org.apache.hadoop.hbase.security.access.AccessController.preAddColumn,4,4,0,4,2,1,0,1,1,2,1,1,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,0,0,0,3.0,0.0,0.0,0.0,4,4,2,6,1.0,0.5,2.0,1.5,3,not bug-prone
org.apache.hadoop.hbase.security.access.AccessController.preModifyColumn,4,4,0,4,2,1,0,1,1,2,1,1,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,0,0,0,3.0,0.0,0.0,0.0,4,4,2,6,1.0,0.5,2.0,1.5,3,not bug-prone
org.apache.hadoop.hbase.security.access.AccessController.preDeleteColumn,4,4,0,4,2,1,0,1,1,2,1,1,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,0,0,0,3.0,0.0,0.0,0.0,4,4,2,6,1.0,0.5,2.0,1.5,3,not bug-prone
org.apache.hadoop.hbase.security.access.AccessController.postDeleteColumn,3,5,0,5,2,2,0,3,1,2,1,1,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.5,0.0,0.0,0.0,1,1,0,1,0.2,0.0,0,1.0,1,not bug-prone
org.apache.hadoop.hbase.security.access.AccessController.preEnableTable,4,4,0,4,2,1,0,1,1,2,1,1,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,10,2,1,0,0,0,5.0,0.5,0.25,0.0,5,7,4,11,1.75,1.0,1.75,2.2,3,bug-prone
org.apache.hadoop.hbase.security.access.AccessController.preDisableTable,7,8,0,8,2,4,0,3,2,4,1,3,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,12,2,1,0,0,0,3.0,0.25,0.125,0.0,6,9,4,13,1.125,0.5,2.25,2.1666666666666665,3,bug-prone
org.apache.hadoop.hbase.security.access.AccessController.preMove,3,4,0,4,2,1,0,2,1,2,1,1,1,0,4,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,1.0,0.0,0.0,0.0,2,2,0,2,0.5,0.0,0,1.0,2,not bug-prone
org.apache.hadoop.hbase.security.access.AccessController.preAssign,3,4,0,4,2,1,0,2,1,2,1,1,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,1.0,0.0,0.0,0.0,2,2,0,2,0.5,0.0,0,1.0,2,not bug-prone
org.apache.hadoop.hbase.security.access.AccessController.preUnassign,3,4,0,4,2,1,0,2,1,2,1,1,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,1.0,0.0,0.0,0.0,2,2,0,2,0.5,0.0,0,1.0,2,not bug-prone
