Method name,C20,C3,C4,C1,C5,C6,C2,C21,C18,C8,C9,C10,C17,C19,C7,C11,C12,C13,C14,C15,C16,H6,H7,H8,H9,H10,H11,H16,H17,H18,H19,H4,H1,H2,H3,H12,H13,H14,H15,H5,bug-prone
org.apache.ignite.examples.datagrid.starschema.CacheStarSchemaExample.main,6,41,6,28,4,23,7,12,1,21,4,17,1,2,1,54.0,166.0,31.250000000000004,955.3113253591358,280125.00000000006,1.4270745407074836,3,0,0,0,0,0,0.14285714285714285,0.0,0.0,0.0,2,2,1,3,0.05555555555555555,0.027777777777777776,2.0,1.5,1,not bug-prone
org.apache.ignite.examples.datagrid.starschema.CacheStarSchemaExample.populateDimensions,6,31,6,15,6,11,10,6,2,14,6,8,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.07142857142857142,0.0,0.0,0.0,1,1,0,1,0.043478260869565216,0.0,0,1.0,1,not bug-prone
org.apache.ignite.examples.misc.client.memcache.MemcacheRestExampleNodeStartup.configuration,6,37,11,20,5,18,6,18,1,19,5,14,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,0,0,0,0.5789473684210527,0.0,0.0,0,6,2,3,5,0.06451612903225806,0.0967741935483871,0.6666666666666666,0.8333333333333334,3,bug-prone
org.apache.ignite.examples.misc.springbean.SpringBeanExample.main,1,43,7,25,7,19,11,7,1,18,6,12,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.05555555555555555,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0,0.0,0,not bug-prone
org.apache.ignite.examples.ml.genetic.change.Coin.toString,2,4,0,3,1,1,1,1,1,2,1,1,1,0,0,8.0,11.0,1.5,33.0,132.0,0.008641610734599143,0,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0.0,0.0,0,0.0,1,not bug-prone
org.apache.ignite.examples.ml.genetic.change.OptimizeMakeChangeTerminateCriteria.isTerminationConditionMet,5,24,3,15,3,11,6,4,2,12,2,10,2,1,3,31.0,72.0,13.59375,356.70213434785506,30341.25,0.32426573385491014,1,0,0,0,0,0,0.08333333333333333,0.0,0.0,0.0,1,1,0,1,0.05555555555555555,0.0,0,1.0,1,bug-prone
org.apache.ignite.examples.ml.genetic.movie.Movie.toString,5,5,0,4,1,2,1,2,1,2,1,1,1,0,0,14.0,23.0,1.5,87.56916320732489,483.0,0.020519975241903802,0,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0.0,0.0,0,0.0,1,not bug-prone
org.apache.ignite.examples.ml.genetic.movie.MovieTerminateCriteria.isTerminationConditionMet,4,23,3,14,3,10,6,5,2,11,2,9,2,1,3,30.0,65.0,13.0,318.9478887145537,25350.0,0.28764978542338404,1,0,0,0,0,0,0.09090909090909091,0.0,0.0,0.0,1,1,0,1,0.058823529411764705,0.0,0,1.0,1,bug-prone
org.apache.ignite.examples.ml.math.matrix.ExampleMatrixStorage.data,2,4,0,3,1,1,1,2,1,2,1,1,1,0,0,9.0,9.0,3.0,28.529325012980813,243.0,0.012980246132766673,2,0,0,0,0,0,1.0,0.0,0.0,0,1,1,1,2,0.3333333333333333,0.3333333333333333,1.0,2.0,1,not bug-prone
org.apache.ignite.examples.ml.math.matrix.MatrixCustomStorageExample.main,1,52,10,37,13,35,5,9,1,34,13,21,1,0,1,68.0,279.0,27.61627906976744,1698.4021327088449,523936.04651162785,2.166361510828209,2,0,0,0,0,0,0.058823529411764705,0.0,0.0,0.0,1,1,1,2,0.02127659574468085,0.02127659574468085,1.0,2.0,1,bug-prone
