Method name,C20,C3,C4,C1,C5,C6,C2,C21,C18,C8,C9,C10,C17,C19,C7,C11,C12,C13,C14,C15,C16,H6,H7,H8,H9,H10,H11,H16,H17,H18,H19,H4,H1,H2,H3,H12,H13,H14,H15,H5,bug-prone
org.apache.kafka.clients.admin.AdminClient.create,1,9,0,3,1,1,6,2,1,2,1,1,1,0,1,8.0,10.0,4.5,30.0,360.0,0.016868653306034983,5,0,0,0,0,0,2.5,0.0,0.0,0.0,2,1,0,1,0.3333333333333333,0.0,0,0.5,1,bug-prone
org.apache.kafka.clients.admin.AdminClientConfig.configDef,1,3,0,3,1,1,0,2,1,2,1,1,1,0,0,6.0,6.0,2.5,15.509775004326936,90.0,0.006694329500821694,2,0,0,0,0,0,1.0,0.0,0.0,0,1,1,1,2,0.3333333333333333,0.3333333333333333,1.0,2.0,1,not bug-prone
org.apache.kafka.clients.admin.AdminClientConfig.main,2,3,0,3,1,1,0,2,1,2,1,1,1,0,1,9.0,10.0,3.0,31.699250014423125,270.0,0.013924766500838332,1,0,0,0,0,0,0.5,0.0,0.0,0.0,1,1,0,1,0.3333333333333333,0.0,0,1.0,1,not bug-prone
org.apache.kafka.clients.admin.AlterConfigsOptions.timeoutMs,1,9,0,4,1,2,5,2,1,3,1,2,1,0,1,7.0,10.0,5.0,28.07354922057604,350.0,0.016554806472987807,1,0,0,0,1,0,0.3333333333333333,0.0,0.0,1.0,1,1,0,1,0.25,0.0,0,1.0,1,not bug-prone
org.apache.kafka.clients.admin.AlterConfigsOptions.shouldValidateOnly,3,6,0,3,1,1,3,1,1,2,1,1,1,0,0,3.0,3.0,1.0,4.754887502163469,9.0,0.0014422495703074081,0,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0.0,0.0,0,0.0,1,not bug-prone
org.apache.kafka.clients.admin.AlterConfigsOptions.validateOnly,1,7,0,4,1,2,3,2,1,3,1,2,1,0,1,7.0,10.0,5.0,28.07354922057604,350.0,0.016554806472987807,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0,0.0,1,not bug-prone
org.apache.kafka.clients.admin.AlterConfigsResult.all,2,6,0,3,1,1,3,4,1,2,1,1,1,0,0,12.0,14.0,4.5,50.18947501009619,756.0,0.027662617752350675,0,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0.0,0.0,0,0.0,1,not bug-prone
org.apache.kafka.clients.admin.AlterReplicaLogDirsResult.values,1,25,0,3,1,1,22,1,1,2,1,1,1,0,0,3.0,3.0,1.0,4.754887502163469,9.0,0.0014422495703074081,0,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0.0,0.0,0,0.0,1,not bug-prone
org.apache.kafka.clients.admin.AlterReplicaLogDirsResult.all,1,7,0,3,1,1,4,4,1,2,1,1,1,0,0,12.0,14.0,4.5,50.18947501009619,756.0,0.027662617752350675,0,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0.0,0.0,0,0.0,1,not bug-prone
org.apache.kafka.clients.admin.Config.entries,8,6,0,3,1,1,3,3,1,2,1,1,1,0,0,7.0,8.0,2.5,22.458839376460833,140.0,0.0089873316659195,2,0,0,0,0,0,1.0,0.0,0.0,0,1,1,1,2,0.3333333333333333,0.3333333333333333,1.0,2.0,1,not bug-prone
org.apache.kafka.clients.admin.Config.get,6,6,0,3,1,1,3,2,1,2,1,1,1,0,1,7.0,8.0,3.75,22.458839376460833,210.0,0.011776736060179817,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0,0.0,1,not bug-prone
org.apache.kafka.clients.admin.ConfigEntry.name,8,6,0,3,1,1,3,1,1,2,1,1,1,0,0,3.0,3.0,1.0,4.754887502163469,9.0,0.0014422495703074081,0,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0.0,0.0,0,0.0,1,not bug-prone
org.apache.kafka.clients.admin.ConfigEntry.value,5,6,0,3,1,1,3,1,1,2,1,1,1,0,0,3.0,3.0,1.0,4.754887502163469,9.0,0.0014422495703074081,0,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0.0,0.0,0,0.0,1,not bug-prone
org.apache.kafka.clients.admin.ConfigEntry.isDefault,3,6,0,3,1,1,3,1,1,2,1,1,1,0,0,6.0,6.0,2.0,15.509775004326936,72.0,0.0057689982812296325,2,0,0,0,0,0,1.0,0.0,0.0,0,1,1,1,2,0.3333333333333333,0.3333333333333333,1.0,2.0,1,not bug-prone
