Method name,C20,C3,C4,C1,C5,C6,C2,C21,C18,C8,C9,C10,C17,C19,C7,C11,C12,C13,C14,C15,C16,H6,H7,H8,H9,H10,H11,H16,H17,H18,H19,H4,H1,H2,H3,H12,H13,H14,H15,H5,bug-prone
org.apache.maven.artifact.ArtifactUtils.isSnapshot,5,16,0,16,1,7,0,5,4,7,1,6,4,2,1,22.0,54.0,20.0,240.80930740641406,23760.0,0.2754924509598665,1,0,0,0,0,0,0.14285714285714285,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0,0.0,0,not bug-prone
org.apache.maven.artifact.ArtifactUtils.toSnapshotVersion,6,19,1,18,4,9,0,7,4,10,4,6,4,3,1,30.0,69.0,21.590909090909093,338.57545109698776,44693.18181818182,0.4197972553156493,2,0,0,0,0,0,0.2,0.0,0.0,0.0,1,2,0,2,0.10526315789473684,0.0,0,2.0,1,not bug-prone
org.apache.maven.artifact.ArtifactUtils.versionlessKey,3,4,0,4,1,1,0,4,1,2,1,1,1,0,2,12.0,24.0,5.5,86.03910001730776,1584.0,0.045294853929607845,20,0,0,0,0,0,10.0,0.0,0.0,0.0,4,12,6,18,1.7142857142857142,0.8571428571428571,2.0,4.5,3,bug-prone
org.apache.maven.artifact.ArtifactUtils.copyArtifact,8,44,5,25,4,18,14,32,4,17,3,14,3,1,1,48.0,145.0,147.0,809.8195626045677,1023120.0,3.3845151426976243,3,0,1,0,0,0,0.17647058823529413,0.0,0.022727272727272728,0.0,2,0,0,0,0.0,0.0,0,0.0,0,not bug-prone
org.apache.maven.artifact.DefaultArtifact.validateIdentity,6,26,3,23,1,12,0,3,16,9,1,8,5,1,0,22.0,84.0,11.666666666666668,374.59225596553296,21560.000000000004,0.2582128887020652,4,2,0,0,0,0,0.4444444444444444,0.07692307692307693,0.0,0,2,4,0,4,0.15384615384615385,0.0,0,2.0,1,not bug-prone
org.apache.maven.artifact.DefaultArtifact.setVersion,1,6,0,6,1,3,0,3,1,4,1,3,1,0,1,10.0,15.0,3.5,49.82892142331044,525.0,0.021692933298438268,5,0,0,0,0,0,1.25,0.0,0.0,0.0,4,2,1,3,0.3333333333333333,0.16666666666666666,2.0,0.75,2,bug-prone
org.apache.maven.artifact.DefaultArtifact.getFile,1,4,0,4,1,1,0,1,1,2,1,1,1,0,0,3.0,3.0,1.0,4.754887502163469,9.0,0.0014422495703074081,6,0,0,0,0,0,3.0,0.0,0.0,0,2,0,0,0,0.0,0.0,0,0.0,0,not bug-prone
org.apache.maven.artifact.DefaultArtifact.getId,1,4,0,4,1,1,0,3,1,2,1,1,1,0,0,7.0,9.0,2.0,25.26619429851844,126.0,0.008377718728240054,5,0,0,0,0,0,2.5,0.0,0.0,0,5,2,0,2,0.5,0.0,0,0.4,1,bug-prone
org.apache.maven.artifact.DefaultArtifact.getDependencyConflictId,5,8,0,8,2,5,0,7,1,6,2,4,1,0,0,13.0,28.0,7.2,103.61231210795059,2620.7999999999997,0.06336284447999124,8,0,0,0,0,0,1.3333333333333333,0.0,0.0,0,3,1,0,1,0.125,0.0,0,0.3333333333333333,1,bug-prone
org.apache.maven.artifact.DefaultArtifact.appendArtifactTypeClassifierString,3,11,0,11,1,6,0,6,2,7,1,6,2,1,1,12.0,35.0,6.0,125.47368752524048,2520.0,0.06172755936317168,0,0,0,0,1,0,0.0,0.0,0.0,1.0,1,0,0,0,0.0,0.0,0,0.0,0,not bug-prone
org.apache.maven.artifact.DefaultArtifact.addMetadata,2,17,1,16,2,7,0,6,4,7,2,5,3,1,1,22.0,48.0,31.5,214.05271769459029,33264.0,0.3447691461276194,9,1,0,0,0,0,1.2857142857142858,0.058823529411764705,0.0,0.0,1,6,3,9,0.35294117647058826,0.17647058823529413,2.0,9.0,1,not bug-prone
org.apache.maven.artifact.DefaultArtifact.getMetadataList,1,9,1,8,1,3,0,4,2,4,1,3,2,1,0,12.0,19.0,7.5,68.11428751370197,1710.0,0.047666085267385465,1,0,0,1,0,0,0.25,0.0,0.0,0,1,1,0,1,0.1111111111111111,0.0,0,1.0,1,not bug-prone
org.apache.maven.artifact.DefaultArtifact.toString,6,25,0,25,2,14,0,9,8,14,2,12,4,1,0,20.0,77.0,18.0,332.78846330632695,27720.0,0.3053099062685722,19,2,0,0,0,0,1.3571428571428572,0.08,0.0,0,6,2,1,3,0.08,0.04,2.0,0.5,1,bug-prone
org.apache.maven.artifact.DefaultArtifact.hashCode,5,13,0,13,2,8,0,2,2,9,2,7,3,1,0,20.0,62.0,15.277777777777777,267.95954188301647,18944.444444444445,0.23688269092112657,9,0,0,0,0,0,1.0,0.0,0.0,0,2,2,0,2,0.15384615384615385,0.0,0,1.0,1,not bug-prone
org.apache.maven.artifact.DefaultArtifact.equals,6,39,5,33,2,16,1,7,8,17,2,15,9,1,1,31.0,107.0,22.166666666666668,530.0990052113957,73526.83333333334,0.5850271033232479,19,5,0,0,0,0,1.1176470588235294,0.1282051282051282,0.0,0.0,3,0,0,0,0.0,0.0,0,0.0,0,not bug-prone
org.apache.maven.artifact.DefaultArtifact.getBaseVersion,6,9,1,8,1,3,0,2,2,4,1,3,2,1,0,12.0,17.0,7.0,60.94436251225966,1428.0,0.04226986721687471,7,1,0,0,0,0,1.75,0.1111111111111111,0.0,0,4,1,1,2,0.1111111111111111,0.1111111111111111,1.0,0.5,1,bug-prone
org.apache.maven.artifact.DefaultArtifact.setBaseVersion,2,4,0,4,1,1,0,1,1,2,1,1,1,0,1,5.0,6.0,2.25,13.931568569324174,67.5,0.005526047247960579,8,2,0,0,0,0,4.0,0.5,0.0,0.0,2,4,0,4,1.0,0.0,0,2.0,1,bug-prone
