Method name,C20,C3,C4,C1,C5,C6,C2,C21,C18,C8,C9,C10,C17,C19,C7,C11,C12,C13,C14,C15,C16,H6,H7,H8,H9,H10,H11,H16,H17,H18,H19,H4,H1,H2,H3,H12,H13,H14,H15,H5,bug-prone
org.apache.zookeeper.graph.Log4JSource.init,8,52,5,42,10,33,5,19,32,30,10,20,8,4,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0.03333333333333333,0.0,0.019230769230769232,0,1,1,0,1,0.019230769230769232,0.0,0,1.0,1,not bug-prone
org.apache.zookeeper.graph.Log4JSource.main,3,48,7,37,14,31,4,7,2,30,14,16,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0.06666666666666667,0.0,0.0,0.0,1,2,0,2,0.041666666666666664,0.0,0,2.0,1,bug-prone
org.apache.zookeeper.graph.RandomAccessFileReader.main,2,30,1,29,5,23,0,7,16,32,9,23,5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.03125,0.0,0.0,0.0,1,1,0,1,0.03333333333333333,0.0,0,1.0,1,bug-prone
org.apache.zookeeper.graph.servlets.NumEvents.handleRequest,3,35,6,29,8,24,0,11,12,25,8,17,5,2,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.04,0.0,0.0,0.0,1,1,0,1,0.02857142857142857,0.0,0,1.0,1,bug-prone
org.apache.zookeeper.graph.servlets.StaticContent.doGet,4,20,1,18,3,12,1,12,3,12,3,9,3,2,2,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0.16666666666666666,0.0,0.0,0.0,1,3,0,3,0.15,0.0,0,3.0,1,bug-prone
org.apache.zookeeper.server.jersey.resources.RuntimeExceptionMapper.toResponse,2,12,1,10,2,7,1,8,2,5,2,3,2,1,1,26.0,44.0,21.0,206.81934759820808,24024.0,0.277529375277712,4,0,1,0,0,0,0.8,0.0,0.08333333333333333,0.0,1,4,0,4,0.3333333333333333,0.0,0,4.0,1,bug-prone
org.apache.zookeeper.server.jersey.resources.ZNodeResource.getZNodeList,9,54,4,50,12,38,0,28,11,30,10,20,7,2,6,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0.06666666666666667,0.0,0.0,0.0,1,1,1,2,0.018518518518518517,0.018518518518518517,1.0,2.0,1,bug-prone
org.apache.zookeeper.server.jersey.RestMain.main,1,21,3,14,3,11,4,7,1,10,4,6,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,15,0,0,0,0,0,1.5,0.0,0.0,0.0,1,6,9,15,0.35294117647058826,0.5294117647058824,0.6666666666666666,15.0,1,not bug-prone
org.apache.zookeeper.server.jersey.ZooKeeperService.close,3,6,0,3,1,1,3,1,1,2,1,1,1,0,2,32.0,66.0,17.5,330.0,36960.0,0.36985661191751523,20,0,1,0,6,1,10.0,0.0,0.05555555555555555,3.0,1,11,1,12,0.6111111111111112,0.05555555555555555,11.0,12.0,1,not bug-prone
org.apache.zookeeper.server.jersey.ZooKeeperService.getClient,1,6,0,3,1,1,3,2,1,2,1,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0,0,2,1,3.5,0.0,0.0,2.0,1,1,6,7,0.3333333333333333,2.0,0.16666666666666666,7.0,1,not bug-prone
