Method name,C20,C3,C4,C1,C5,C6,C2,C21,C18,C8,C9,C10,C17,C19,C7,C11,C12,C13,C14,C15,C16,H6,H7,H8,H9,H10,H11,H16,H17,H18,H19,H4,H1,H2,H3,H12,H13,H14,H15,H5,bug-prone
org.apache.calcite.adapter.cassandra.CassandraProject.implement,3,14,0,14,6,10,0,11,2,10,6,4,2,1,1,41.0,82.0,26.583333333333332,439.3192643786829,89373.16666666666,0.6663210130393215,6,1,1,0,0,0,0.6,0.07142857142857142,0.07142857142857142,0.0,1,3,3,6,0.21428571428571427,0.21428571428571427,1.0,6.0,1,bug-prone
org.apache.calcite.adapter.cassandra.CassandraSchema.getRelDataType,10,81,13,65,20,53,4,28,12,30,13,17,7,2,2,93.0,348.0,91.5,2275.627266265595,2961306.0,6.873864015717708,8,3,1,0,1,0,0.26666666666666666,0.037037037037037035,0.012345679012345678,0.5,3,8,1,9,0.09876543209876543,0.012345679012345678,8.0,3.0,2,bug-prone
org.apache.calcite.adapter.cassandra.CassandraSchema.getKeyFields,3,28,3,20,6,14,5,11,8,16,8,8,4,1,2,41.0,112.0,39.875,600.0458245172254,183106.0,1.0748481886564445,5,1,0,0,1,0,0.3125,0.043478260869565216,0.0,0.5,1,4,1,5,0.17391304347826086,0.043478260869565216,4.0,5.0,1,not bug-prone
org.apache.calcite.adapter.cassandra.CassandraSchema.getClusteringOrder,7,33,3,26,6,19,4,8,6,19,7,12,5,2,2,50.0,113.0,43.71428571428571,637.7557494445439,246985.71428571426,1.3121796598934816,6,2,0,0,1,0,0.3157894736842105,0.06896551724137931,0.0,0.5,1,5,1,6,0.1724137931034483,0.034482758620689655,5.0,6.0,1,not bug-prone
org.apache.calcite.adapter.cassandra.CassandraSchema.addMaterializedViews,8,60,10,43,17,37,7,35,5,32,17,15,4,2,0,101.0,282.0,54.13333333333333,1877.6156381360063,1541825.6,4.448725201550497,3,0,1,0,0,0,0.09375,0.0,0.017241379310344827,0,2,3,0,3,0.05172413793103448,0.0,0,1.5,2,bug-prone
org.apache.calcite.adapter.cassandra.CassandraSchema.getTableMap,0,13,1,12,4,8,0,10,3,11,6,5,3,2,0,30.0,72.0,23.333333333333336,353.2961228838133,50400.00000000001,0.45481254605623755,3,0,0,0,0,0,0.2727272727272727,0.0,0.0,0,1,3,0,3,0.23076923076923078,0.0,0,3.0,1,not bug-prone
org.apache.calcite.adapter.cassandra.CassandraSort.computeSelfCost,3,9,0,9,3,5,0,5,2,5,2,3,2,1,2,22.0,35.0,13.333333333333334,156.0801066523054,10266.666666666668,0.15745811685861877,9,3,2,0,0,0,1.8,0.3333333333333333,0.2222222222222222,0.0,2,7,3,10,0.7777777777777778,0.3333333333333333,2.3333333333333335,5.0,1,bug-prone
org.apache.calcite.adapter.cassandra.CassandraSort.copy,3,4,0,4,2,1,0,3,1,2,1,1,1,0,5,17.0,27.0,6.428571428571429,110.36149671375918,2950.714285714286,0.06857463712665046,1,0,0,0,0,0,0.5,0.0,0.0,0.0,1,1,0,1,0.25,0.0,0,1.0,1,not bug-prone
org.apache.calcite.adapter.cassandra.CassandraSort.implement,3,25,2,22,7,15,1,13,4,16,7,9,4,3,1,50.0,101.0,32.666666666666664,570.0294751672471,164966.66666666666,1.0026350394941865,9,0,0,0,0,0,0.5625,0.0,0.0,0.0,2,0,2,2,0.0,0.08,0.0,1.0,1,not bug-prone
org.apache.calcite.adapter.cassandra.CassandraToEnumerableConverter.implement,14,61,1,59,23,44,1,27,4,27,17,10,3,1,2,110.0,306.0,71.67441860465115,2075.096072338546,2412560.930232558,5.996036560103463,8,0,0,0,0,0,0.2962962962962963,0.0,0.0,0.0,2,8,0,8,0.13114754098360656,0.0,0,4.0,1,bug-prone
org.apache.calcite.adapter.clone.ArrayTable.getStatistic,7,10,0,10,3,6,0,7,3,8,4,4,3,2,0,35.0,59.0,30.0,302.627697999753,61950.0,0.5218827623038169,5,1,0,0,0,0,0.625,0.1,0.0,0,1,1,4,5,0.1,0.4,0.25,5.0,1,bug-prone
org.apache.calcite.adapter.enumerable.EnumerableAggregate.implement,26,263,15,170,46,146,78,59,80,61,35,26,10,3,2,167.0,851.0,179.44444444444443,6283.532352895419,2.5502106111111112E7,28.879928316046673,5,4,0,0,0,0,0.08196721311475409,0.015209125475285171,0.0,0.0,2,2,2,4,0.0076045627376425855,0.0076045627376425855,1.0,2.0,1,not bug-prone
org.apache.calcite.adapter.enumerable.EnumerableAggregateRule.convert,4,17,0,17,4,14,0,12,2,7,3,4,2,1,1,35.0,72.0,28.6875,369.3083772200376,72292.5,0.5784612091629704,5,0,0,0,0,0,0.7142857142857143,0.0,0.0,0.0,4,5,0,5,0.29411764705882354,0.0,0,1.25,2,bug-prone
org.apache.calcite.adapter.enumerable.EnumerableCalc.implement,24,157,7,142,37,126,8,47,2,32,25,7,3,1,2,146.0,544.0,138.18421052631578,3911.2645600307296,1.0975142736842105E7,16.46211116469131,7,0,0,0,0,0,0.21875,0.0,0.0,0.0,3,6,0,6,0.03821656050955414,0.0,0,2.0,1,bug-prone
org.apache.calcite.adapter.enumerable.EnumerableCalcRule.convert,2,8,0,8,3,6,0,7,1,4,3,1,1,0,1,20.0,38.0,12.833333333333332,164.2332676057198,9753.333333333332,0.15216477330447029,1,0,0,0,0,0,0.25,0.0,0.0,0.0,1,1,0,1,0.125,0.0,0,1.0,1,bug-prone
org.apache.calcite.adapter.enumerable.EnumerableCollect.implement,8,38,2,25,12,19,11,16,1,10,8,2,1,0,2,53.0,127.0,28.886363636363633,727.4458977295263,194434.11363636362,1.118734561279068,4,0,2,0,0,0,0.4,0.0,0.05263157894736842,0.0,2,4,0,4,0.10526315789473684,0.0,0,2.0,2,bug-prone
