Method name,C20,C3,C4,C1,C5,C6,C2,C21,C18,C8,C9,C10,C17,C19,C7,C11,C12,C13,C14,C15,C16,H6,H7,H8,H9,H10,H11,H16,H17,H18,H19,H4,H1,H2,H3,H12,H13,H14,H15,H5,bug-prone
org.apache.drill.common.CatastrophicFailure.exit,7,22,1,12,3,9,9,7,2,8,2,6,3,1,3,34.0,57.0,20.90909090909091,289.9853819512694,40521.81818181819,0.3932523811794239,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0,0.0,1,bug-prone
org.apache.drill.common.concurrent.AutoCloseableLock.open,28,4,0,4,1,2,0,2,1,3,1,2,1,0,0,6.0,7.0,2.0,18.094737505048094,84.0,0.0063933959655481185,0,0,0,1,0,0,0.0,0.0,0.0,0,1,0,0,0,0.0,0.0,0,0.0,1,not bug-prone
org.apache.drill.common.concurrent.ExtendedLatch.awaitUninterruptibly,4,22,1,14,3,9,7,3,4,9,3,6,4,2,0,17.0,24.0,6.0,98.09910819000817,2448.0,0.06054612515131005,2,1,1,0,0,0,0.2222222222222222,0.09090909090909091,0.09090909090909091,0,1,1,2,3,0.09090909090909091,0.18181818181818182,0.5,3.0,1,bug-prone
org.apache.drill.common.config.DrillConfig.create,9,84,8,58,15,44,18,22,96,39,14,25,10,3,2,83.0,313.0,72.05882352941177,1995.3873420115876,1872016.1764705884,5.063122986159524,54,1,11,0,3,0,1.3846153846153846,0.3333333333333333,3.6666666666666665,1.5,2,1,0,1,0.3333333333333333,0.0,0,0.5,1,bug-prone
org.apache.drill.common.config.DrillConfig.forClient,4,9,0,3,1,1,6,2,1,2,1,1,1,0,0,7.0,7.0,2.0,19.651484454403228,98.0,0.007085374267709879,0,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0.0,0.0,0,0.0,1,not bug-prone
org.apache.drill.common.config.NestedConfig.atPath,2,3,0,3,1,1,0,2,1,2,1,1,1,0,1,7.0,8.0,3.75,22.458839376460833,210.0,0.011776736060179817,2,0,0,0,0,0,1.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0,0.0,0,not bug-prone
org.apache.drill.common.config.NestedConfig.atKey,2,3,0,3,1,1,0,2,1,2,1,1,1,0,1,7.0,8.0,3.75,22.458839376460833,210.0,0.011776736060179817,2,0,0,0,0,0,1.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0,0.0,0,not bug-prone
org.apache.drill.common.config.NestedConfig.withValue,60,3,0,3,1,1,0,2,1,2,1,1,1,0,2,10.0,13.0,5.833333333333334,43.18506523353572,758.3333333333335,0.027719507479707,2,0,0,0,0,0,1.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0,0.0,0,not bug-prone
org.apache.drill.common.DeferredException.getException,4,9,0,3,1,1,6,1,1,2,1,1,1,0,0,3.0,3.0,1.0,4.754887502163469,9.0,0.0014422495703074081,1,0,0,0,0,0,0.5,0.0,0.0,0,1,1,1,2,0.3333333333333333,0.3333333333333333,1.0,2.0,1,bug-prone
org.apache.drill.common.DeferredException.close,2,7,0,7,1,4,0,2,1,4,1,3,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,0,0,0,1.25,0.0,0.0,0,1,2,4,6,0.2857142857142857,0.5714285714285714,0.5,6.0,1,bug-prone
